MATH,BIOLOGY,PHYSICS
(mathematical,asexual,acceleration
Cartesian coordinate,"asexual,",alternating current
addition,"bacteria,",ampere
"addition,",cell,atom
angle,"cell,",atoms
angle of which is a right angle,cells,"atoms,"
angle),"cells,",baryon
"angle, as in an acute",chromosome,baryon.
angle; the angle,"chromosome,","calories,"
angles,cytoplasm,charge
angles:,diploid,conductor
arc,embryo,"coulomb,"
arc.,embryos,current
arcs,environment,earth
area,"epidermis),",electromagnetic radiation
area:,gamete,"electromagnetic radiation,"
areas,gametes,electromotive force
axis,gene),electron
"axis,",genes,electron)
base,genus,"electron,"
"base,",glands,electrons
base.,haploid,"electrons,"
bases,metabolism,energy
binary,muscles:,"energy,"
circle,order,energy;
circle.,organ,field
circles,ovum,"field,"
"circles,",protein,field.
circumference,proteins.,field;
circumference:,reproduction,"fields,"
circumference;,respiration),force
common denominator,seed,"force,"
complex number,skeleton,force.
cone,skin,forces
"cone,","soil,",frequency
cone.,species,"frequency),"
cone:,spore,frequency.
cone;,vertebrate,frequency; the frequency
constant,"vertebrates,","fuse),"
constant.,vitamin,fusion
cosine,,gravity
cube,,hertz
cube root,,inductance).
curve,,inertia
"curve,",,"infrared,"
"curves,",,joule
cylinder,,joules
decimal,,kinetic energy
denominator,,laser
"denominator,",,lepton
diameter.,,mass
digits,,mass)
division,,mass):
division:,,"mass,"
dodecahedron,,masses
"ellipse,",,matter
equal,,meson
equal.,,moment
equal:,,"muon,"
equals,,"neutrino,"
equation,,"neutron,"
"equation,",,newton
equation:,,newton;
equation;,,nuclei
equations,,nucleon
equilateral,,nucleons
exponential,,nucleus
factor,,particle
factorial,,"particle,"
"factors,",,particles
fraction,,"particles,"
"fraction,",,potential difference
fractions,,proton
fractions:,,"proton,"
function,,quantum
"function,",,radiation
functions,,radio waves;
"functions,",,"relativity,"
geometric,,resistance
geometry,,resistance.
"graph,",,resistance; the resistance
hypotenuse,,semiconductor
hypotenuse;,,spectrum
icosahedron,,superconductivity
"icosahedron,",,tau particle
infinity,,transformer)
integer,,ultraviolet
"integer,",,velocity
integer.,,velocity.
integers,,volt
"integers,",,volts
integral,,wave
integral),,wavelength
intersection,,wavelengths
intersections,,waves
irrational number,,"waves,"
locus,,
mathematical,,
"mathematics,",,
mean,,
means,,
multiplication,,
"multiplication,",,
number,,
number is a complex number; a complex,,
"number or a real number,",,
number or an irrational number;,,
number),,
"number,",,
numbers,,
"numbers,",,
numerator,,
"numerator,",,
odd,,
operation,,
"operation,",,
operations,,
operator),,
origin,,
"origin,",,
parallel,,
parallelogram,,
"pentagon,",,
pentagons,,
polygon,,
polygons,,
"polygons),",,
polyhedron,,
polyhedrons,,
polynomial,,
polynomials,,
power,,
power.,,
probability),,
"probability),",,
product,,
quadrilateral,,
quotient,,
radian,,
radians,,
radians),,
radii,,
radius,,
radius.,,
ratio,,
rational number,,
rational numbers,,
real number,,
real numbers,,
reciprocal,,
rectangles;,,
right angle,,
right angles,,
scalar,,
set,,
set which is not a closed set,,
set;,,
sets,,
sets.,,
sine,,
solid,,
"solid,",,
sphere,,
"sphere,",,
square,,
squares,,
subtraction,,
sum,,
sums,,
tangent,,
tangents,,
tetrahedron,,
"tetrahedron,",,
trapezium),,
triangle,,
triangle),,
"triangle,",,
triangle.,,
triangles,,
union,,
"universal set,",,
value,,
value),,
"value,",,
value.,,
value:,,
values,,
variable,,
"variable,",,
variable.,,
variables,,
vector,,
volume:,,
zero,,
"zero,",,
zero.,,
